traffic_type,app,source_file,split,protocol_id,rtt,rtt_valid,syn_count,fin_count,rst_count,n_dst_ips,n_dst_ports,n_src_ports,conn_per_sec,packet_sizes,iats,directions
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.012114,True,0,0,0,29,6,159,0.11441,"[94, 94, 66, 66, 90, 90, 66, 66]","[0.0, 0.0, 0.012114, 0.0, 0.014447, 0.0, 0.001708, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.011876,True,0,0,0,29,6,159,0.11441,"[109, 109, 66, 66, 106, 106, 66, 66]","[0.0, 0.0, 0.011876, 0.0, 0.01535, 0.0, 0.001481, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,1,0.0,False,0,0,0,29,6,159,0.11441,"[86, 86, 86, 86, 86, 86]","[0.0, 0.0, 3.000067, 0.0, 29.99986, 0.0]","[1, 1, 1, 1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.011591,True,0,0,0,29,6,159,0.11441,"[94, 94, 66, 66, 90, 90, 66, 66]","[0.0, 0.0, 0.011591, 0.0, 0.014413, 0.0, 0.001646, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.011873,True,0,0,0,29,6,159,0.11441,"[109, 109, 66, 66, 106, 106, 66, 66]","[0.0, 0.0, 0.011873, 0.0, 0.015191, 0.0, 0.001436, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.013174,True,0,0,0,29,6,159,0.11441,"[773, 149, 149, 105, 105, 1466, 1466, 1466, 1466, 773, 105, 66, 66, 66, 66, 105, 66, 66, 66, 66, 66, 66, 149, 149, 66, 66, 105, 105, 66, 66, 105, 149, 1436, 105, 1436, 149, 66, 66, 66, 66, 105, 105, 66, 66, 66, 66, 149, 149, 66, 66, 105, 105, 66, 66]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000141, 0.013033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000103, 0.0, 0.000138, 0.0, 0.041772, 0.0, 0.00695, 0.0, 0.001728, 0.0, 0.002051, 0.0, 0.006125, 0.0, 29.925204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006663, 0.0, 0.0, 0.0, 0.00013, 0.0, 0.006827, 0.0, 0.035203, 0.0, 0.09267, 0.0, 0.001999, 0.0, 0.001866, 0.0, 0.006425, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.012483,True,0,0,0,29,6,159,0.11441,"[94, 94, 66, 66, 90, 90, 66, 66]","[0.0, 0.0, 0.012483, 0.0, 0.013576, 0.0, 0.001591, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.011891,True,0,0,0,29,6,159,0.11441,"[109, 109, 66, 66, 106, 106, 66, 66]","[0.0, 0.0, 0.011891, 0.0, 0.015203, 0.0, 0.001472, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.013867,True,0,0,0,29,6,159,0.11441,"[66, 66, 66, 66, 105, 149, 105, 581, 581, 173, 154, 154, 173, 149, 66, 66, 105, 105, 66, 66, 105, 105, 396, 396, 144, 144, 66, 66, 101, 105, 101, 105, 144, 144, 654, 654, 66, 66, 66, 66]","[0.0, 0.0, 0.013867, 0.0, 27.973908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017139, 0.0, 9.6e-05, 0.0, 0.00279, 0.0, 0.024691, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001855, 0.0, 0.002267, 0.0, 0.0, 0.0, 8.3e-05, 0.0, 0.0, 0.0, 0.001603, 0.0, 0.012186, 0.0]","[1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1]"
audio_streaming,VLC_Spotify,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/VLC_Spotify/spotify_linux_30m_01.csv,test,0,0.011604,True,0,0,0,29,6,159,0.11441,"[94, 94, 66, 66, 90, 90, 66, 66]","[0.0, 0.0, 0.011604, 0.0, 0.014934, 0.0, 0.001852, 0.0]","[1, 1, -1, -1, -1, -1, 1, 1]"
