traffic_type,app,split,protocol_id,rtt,rtt_valid,syn_count,fin_count,rst_count,n_dst_ips,n_dst_ports,n_src_ports,conn_per_sec,packet_sizes,iats,directions
metaverse,Roblox,pretrain,3,0.049534,True,0,0,0,5,1,1,0.916056,"[55, 120, 1360, 58, 1360, 1360, 1360, 58, 1360, 1360, 1360, 1360, 1360, 1360, 1315, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360]","[0.0, 0.049534, 0.139415, 0.000928, 0.012579, 0.00081, 0.011142, 0.000785, 0.030988, 0.00032, 0.03311, 0.00383, 0.002297, 0.000123, 0.007774, 0.011578, 0.007467, 0.004289, 0.001019, 0.005512, 0.002614, 0.006828, 0.011217, 0.001229, 0.000323, 0.001268, 0.003916, 0.022151, 0.011198, 0.001333, 0.000616, 0.000293, 0.001908, 0.002416, 0.00035, 0.001306, 0.001598, 0.002531, 0.000167, 0.000707, 0.001293, 0.002557, 0.001604, 0.000437, 0.001055, 0.002938, 0.003161, 0.000197, 0.003044, 0.000222, 0.001493, 0.003427, 0.001889, 0.005942, 0.001367, 0.032423, 0.000109, 0.002076, 0.001034, 0.00081, 0.007741, 0.005172, 0.006414, 0.000725]","[1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
metaverse,Roblox,test,3,0.171641,True,0,0,0,5,1,1,0.916056,"[61, 58, 134, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360, 55, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360]","[0.0, 0.160773, 0.171641, 0.113869, 0.099511, 0.115873, 0.082894, 0.087998, 0.005556, 0.000383, 0.046596, 0.020883, 0.00462, 0.000988, 0.14245, 0.006435, 0.087334, 0.016344, 0.089652, 0.007553, 0.021205, 0.088089, 0.009223, 0.012021, 0.007537, 0.034709, 0.012964, 0.001253, 0.024797, 0.015538, 0.015176, 0.004033, 0.00268, 0.000263, 0.002633, 0.028804, 0.001729, 0.001963, 0.014514, 0.000162, 0.01394, 0.001511, 0.006513, 0.000719, 0.014629, 0.068188, 0.012912, 0.04248, 0.004628, 0.016971, 0.008783, 0.00255, 9.5e-05, 0.000595, 0.003653, 0.001326, 0.000573, 0.002362, 0.006049, 0.003813, 0.002403, 0.000753, 0.000533, 0.001108]","[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
metaverse,Roblox,pretrain,3,0.278498,True,0,0,0,5,1,1,0.916056,"[58, 61, 1360, 1360, 140, 1360, 58, 1360, 1360, 1360, 1360, 1360, 61, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 885, 785, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360]","[0.0, 0.278498, 0.008595, 0.120879, 0.036603, 0.001027, 0.092757, 0.108314, 0.013441, 0.057452, 0.011931, 0.013149, 0.002366, 0.008956, 0.063647, 0.015739, 0.093189, 0.000444, 0.007966, 0.00014, 0.00349, 0.002624, 0.000341, 0.002256, 0.000114, 0.003578, 0.006396, 0.004427, 0.006923, 0.022237, 0.002173, 0.003495, 0.000534, 0.010738, 0.000409, 0.001795, 0.001713, 0.009154, 0.001171, 0.002459, 0.19776, 0.00018, 0.030872, 0.005289, 0.00533, 0.004637, 0.011475, 0.006072, 0.014183, 0.011986, 0.002588, 0.001781, 0.002232, 0.000395, 9.9e-05, 0.000696, 0.008421, 0.013532, 0.005839, 0.016688, 0.004134, 0.001747, 0.012771, 0.066129]","[1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]"
metaverse,Roblox,pretrain,3,0.070438,True,0,0,0,5,1,1,0.916056,"[1227, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 986, 1360, 1360, 1360, 1360, 1360, 1028, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360]","[0.0, 0.070438, 0.000306, 0.127625, 0.016028, 0.015623, 0.002402, 0.001166, 0.000235, 0.005901, 0.014582, 0.107259, 0.067355, 0.000934, 0.003197, 0.000457, 0.027713, 0.000115, 0.008739, 0.000669, 0.000664, 0.001044, 0.000277, 0.000527, 0.008794, 0.002271, 0.000414, 0.001064, 0.001764, 0.00696, 0.003078, 0.001008, 0.002648, 0.00012, 0.000545, 0.001675, 0.009164, 0.001394, 0.004301, 0.000343, 0.003961, 0.001448, 0.000112, 0.009589, 0.003308, 0.001213, 0.010585, 0.010571, 0.00204, 0.003327, 8.4e-05, 0.000477, 0.000175, 0.000851, 0.003781, 0.020755, 0.004315, 0.001042, 0.001109, 0.003112, 0.011878, 0.000204, 0.002756, 0.004453]","[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
metaverse,Roblox,downstream_train,3,0.009467,True,0,0,0,5,1,1,0.916056,"[80, 58, 1360, 247, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1144, 58, 1360, 1360, 1360, 1360, 1360, 1237, 1360, 1360, 58, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 1360, 58, 1360, 1360, 1360]","[0.0, 0.009467, 0.069428, 0.097574, 0.006762, 0.018451, 0.000928, 0.281623, 0.011514, 0.009146, 0.068063, 0.009512, 0.00084, 0.010523, 0.063619, 0.014613, 0.000346, 0.024759, 0.015707, 0.000888, 0.003283, 0.000151, 0.00455, 0.001451, 9.3e-05, 0.002556, 0.003134, 0.001916, 0.002839, 0.003134, 0.012306, 0.004673, 0.001152, 0.006437, 0.004857, 0.018808, 0.001362, 0.019904, 0.00199, 0.000494, 0.026807, 0.001178, 0.005817, 0.04006, 0.000923, 0.003371, 0.012794, 0.007323, 0.022504, 0.021089, 0.002449, 0.007741, 0.000125, 0.005051, 0.013231, 0.024608, 0.08628, 0.020626, 0.000825, 0.000197, 0.001193, 0.00112, 0.001741, 0.014045]","[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1]"
metaverse,Zepeto,pretrain,0,0.034576,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.034576, 6.3e-05, 0.001292, 0.045924, 0.578434, 0.0001, 0.000102, 0.025848, 0.352591, 0.038932, 0.000168]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.03347,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.03347, 0.000115, 0.000491, 0.053977, 0.637962, 0.000235, 0.027149, 0.28314, 0.038647, 0.00013]","[1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.026348,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.026348, 5.7e-05, 0.001015, 0.056788, 0.771453, 0.000417, 0.000237, 0.029991, 0.143528, 0.038462, 7.9e-05, 7.3e-05]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.029269,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.029269, 4.2e-05, 0.000671, 0.053893, 0.706147, 0.000603, 0.028462, 0.213327, 0.04308, 0.000103]","[1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.029812,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.029812, 0.000127, 0.000647, 0.056638, 0.835457, 0.026138, 0.078808, 0.042725]","[1, -1, 1, -1, 1, -1, 1, -1, 1]"
