traffic_type,app,source_file,split,protocol_id,rtt,rtt_valid,syn_count,fin_count,rst_count,n_dst_ips,n_dst_ports,n_src_ports,conn_per_sec,packet_sizes,iats,directions
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.10726,True,0,0,0,10,2,73,1.035555,"[668, 668, 557, 284, 104, 779, 284, 104, 775, 1500, 671, 104, 351, 351, 351, 351, 588, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 925, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 480, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]","[0.0, 0.004358, 0.001759, 0.101143, 0.001673, 0.001527, 0.003163, 0.001679, 0.000881, 0.003106, 0.000326, 0.001167, 0.064217, 0.023715, 0.008653, 0.000174, 0.082511, 0.018872, 0.071358, 0.013444, 0.004285, 0.011744, 0.0865, 0.013308, 0.00078, 0.003386, 0.006193, 0.006045, 0.069937, 0.012471, 0.00082, 0.000389, 0.035705, 0.010877, 0.003091, 0.000789, 0.035674, 0.014286, 0.001612, 0.049915, 0.013661, 0.000821, 0.022505, 0.00768, 0.005149, 0.000778, 0.005148, 0.012082, 0.00053, 0.005307, 0.013431, 0.002343, 0.003897, 0.012829, 0.000909, 0.000554, 0.010124, 0.007418, 0.007884, 0.016352, 0.013266, 0.0009, 0.000848, 0.002333]","[1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.309219,True,1,0,0,10,2,73,1.035555,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1031, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 276, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 684]","[0.0, 0.309219, 0.000221, 0.001989, 0.103092, 0.001345, 0.001536, 0.106923, 0.101677, 5.7e-05, 0.00014, 5.5e-05, 0.000173, 4.8e-05, 0.00013, 5.3e-05, 0.000129, 5.1e-05, 0.000143, 8.5e-05, 0.000134, 5.2e-05, 0.000138, 4.8e-05, 0.000128, 4.9e-05, 0.000128, 0.087259, 5.2e-05, 9.4e-05, 6.5e-05, 6.1e-05, 2e-05, 7.1e-05, 2.2e-05, 5.2e-05, 1.9e-05, 4.8e-05, 1.9e-05, 5.6e-05, 1.8e-05, 4.8e-05, 2.1e-05, 5.3e-05, 1.9e-05, 4.7e-05, 2.2e-05, 4.7e-05, 1.8e-05, 4.6e-05, 0.010849, 2.5e-05, 6.8e-05, 2.2e-05, 6e-05, 2e-05, 5.2e-05, 2.1e-05, 4.8e-05, 1.8e-05, 5.6e-05, 2.1e-05, 5e-05, 1.9e-05]","[1, -1, 1, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.314488,True,1,0,0,10,2,73,1.035555,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 582, 40, 1398, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 582, 40, 1500, 40, 1500, 40, 1500, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 582, 40, 1500]","[0.0, 0.314488, 0.000643, 0.002484, 0.113842, 0.00127, 0.000811, 0.141246, 0.043009, 0.011829, 0.000184, 2.7e-05, 6.1e-05, 1.9e-05, 0.000262, 2.7e-05, 0.000113, 2e-05, 6.7e-05, 2.1e-05, 6.7e-05, 1.9e-05, 6e-05, 2e-05, 5.7e-05, 1.9e-05, 0.001167, 0.056302, 0.002459, 0.017203, 2.6e-05, 8.1e-05, 2.3e-05, 9.5e-05, 2.2e-05, 5.9e-05, 2.1e-05, 6.3e-05, 1.9e-05, 5.8e-05, 2.1e-05, 5.2e-05, 1.9e-05, 6e-05, 2e-05, 5.6e-05, 0.012084, 0.000226, 3.5e-05, 0.000107, 2.2e-05, 5.7e-05, 7e-05, 1.8e-05, 9.5e-05, 2.2e-05, 5.5e-05, 1.9e-05, 6.7e-05, 2e-05, 5e-05, 1.9e-05, 4.8e-05, 0.088415]","[1, -1, 1, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.0,False,5,0,0,1,1,1,0.033351,"[60, 60, 60, 60, 60]","[0.0, 1.983667, 3.999934, 8.000688, 15.999564]","[1, 1, 1, 1, 1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.195256,True,1,0,0,10,2,73,1.035555,"[60, 48, 40, 40, 40, 1500, 40, 40, 40, 40]","[0.0, 0.195256, 9.6e-05, 0.003707, 0.113182, 2.4e-05, 4.5e-05, 5.7e-05, 0.001214, 0.09784]","[1, -1, 1, -1, 1, -1, 1, 1, -1, 1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.080781,True,0,0,0,10,2,73,1.035555,"[45, 426, 104, 132, 967, 1095, 1095, 349, 145, 71, 75, 1500, 663, 206, 79, 1095, 1095, 541, 114, 1500, 572, 75]","[0.0, 0.080781, 0.001735, 0.001046, 0.001137, 0.001005, 0.013718, 0.001357, 0.082418, 0.000839, 0.004507, 0.11908, 0.001838, 20.313007, 0.000668, 0.000285, 0.013761, 0.001012, 0.083017, 0.12889, 0.001015, 0.011269]","[1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, 1, 1, 1, 1, 1, -1, -1, -1, 1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.081712,True,1,0,0,10,2,73,1.035555,"[60, 48, 40, 552, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.081712, 0.000354, 0.001589, 0.000215, 0.000329, 0.080957, 0.001465, 0.001036, 0.001126, 0.000967, 0.013867, 0.001207, 0.083357, 0.043076, 0.082117, 0.000289, 20.313009, 0.000471, 0.000343, 0.013828, 0.000896, 0.083391, 0.129396, 0.000368, 0.011418]","[1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, -1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.602351,True,1,0,0,10,2,73,1.035555,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.602351, 0.000523, 0.001692, 0.230117, 0.001052, 0.010256, 0.0008, 0.001797, 0.005608, 0.000369, 0.00046, 0.000298, 0.311448, 0.001683]","[1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,0.174805,True,0,0,0,10,2,73,1.035555,"[783, 779, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1328, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 638, 792, 779, 1500, 1500, 1500, 1500, 1500, 1500, 882, 1500, 1500]","[0.0, 0.004423, 0.170382, 0.00034, 0.005319, 7e-05, 0.004743, 4.4e-05, 0.001014, 7.1e-05, 0.002452, 5.8e-05, 0.001488, 3.7e-05, 0.001323, 2.7e-05, 0.000913, 0.000609, 0.000599, 0.000764, 0.000934, 0.000861, 0.000596, 0.000606, 0.000649, 0.000589, 0.000969, 0.00021, 0.000244, 0.000209, 0.000222, 0.000414, 0.000199, 0.000859, 0.000112, 0.000195, 0.000177, 0.000176, 0.000199, 0.000197, 0.000184, 0.000188, 0.000182, 0.000196, 0.000179, 0.000178, 0.000179, 0.000194, 0.000175, 0.000175, 0.000178, 0.000971, 0.00018, 0.000103, 0.019464, 0.067298, 0.00063, 0.011493, 0.000798, 0.000431, 0.000429, 0.000469, 0.005551, 0.012335]","[1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
video_on_demand,Netflix,/indian-slp/Users/ug/ZEPA/Kritik/net_data/5G_Traffic_Datasets/Stored_Streaming/Netflix/Netflix_1.csv,test,0,5.4e-05,True,0,0,0,10,2,73,1.035555,"[40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40, 1500, 40]","[0.0, 0.170736, 5.4e-05, 0.000249, 0.001438, 0.000387, 4.8e-05, 0.000253, 5.4e-05, 0.000574, 5.6e-05, 0.000252, 4.8e-05, 0.00024, 5.3e-05, 0.000278, 5e-05, 0.000249, 5.1e-05, 0.000816, 0.000132, 2.1e-05, 8.2e-05, 1.8e-05, 0.000127, 2.6e-05, 9.6e-05, 1.8e-05, 7.8e-05, 1.9e-05, 0.003369, 6.3e-05, 0.000235, 2.2e-05, 0.000103, 3.1e-05, 8.6e-05, 1.8e-05, 8.2e-05, 1.9e-05, 7.7e-05, 1.8e-05, 7.8e-05, 9.4e-05, 1.7e-05, 7.8e-05, 1.9e-05, 7.6e-05, 1.7e-05, 8e-05, 1.9e-05, 7.7e-05, 1.8e-05, 7.8e-05, 1.9e-05, 7.6e-05, 1.9e-05, 7.7e-05, 2.1e-05, 7.6e-05, 2e-05, 7.8e-05, 1.7e-05, 8e-05]","[-1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1]"
